	Package	Url	Name	Application Group	Application Category	Application Description	5 star	4 star	3 star	2 star	1 star	Installs	Permissions
0	com.king.candycrushsodasaga	https://play.google.com/store/apps/details?id=com.king.candycrushsodasaga	Candy Crush Soda Saga	King	Casual	"Download Candy Crush Soda Saga for free now.Â  Itâ€™s Sodalicious!
Candy Crush Soda Saga is a brand new game from the makers of the legendary Candy Crush Saga. New candies, more divine combinations and challenging game modes brimming with purple soda!
Candy Crush Soda Saga is completely free to play, but some in-game items such as extra moves or lives will require payment.
By downloading this game you are agreeing to our terms of service; http://about.king.com/consumer-terms/terms
New Candy Crush Soda Saga features:Â 
* Over 140 Sodalicious levels
* New Game Modes include:
Soda â€“ switch bottles and candies to release purple soda and save the Candy Bears
Frosting â€“ match candies to smash the ice and set the Candy Bears free
Honey â€“ match candies next to the honey to release the trapped Candy Bears
* Scrumptious new candies and sublime new combinations:
Match 4 candies in a square to make a Swedish Fish
Match 7 candies to create the remarkable Coloring Candy
* Explore juicy new environments and meet the kookiest characters
* Mouth-watering new graphics, Candy Crush never looked so tasty
* EasyÂ and fun to play, yet challenging to fully master
* For players that Facebook Connect, there are leaderboards for you and your friends to compare your Sodalicious scores
* Easily sync the game between mobile and tablet devices and unlock the full game features when connected to the internet
This mouth-watering puzzle adventure will instantly quench your thirst for fun.  Join Kimmy on her juicy journey to find Tiffi,Â by switching and matching your way through new dimensions of magical gameplay.  Take on this Sodalicious Saga alone or play with friends to see who can get the highest score!
Are you already a fan of the new Candy Crush Soda Saga?Â  If so then visit our website, like us on Facebook or follow us on Twitter for the latest news:
www.candycrushsodasaga.com
facebook.com/CandyCrushSodaSagaÂ 
twitter.com/CandyCrushSodaSaga
Last but not least, a big THANK YOU goes out to everyone who has played Candy Crush Soda Saga! â€¨â€¨"	4534828	1224403	498831	181393	317438	100,000,000+	"This app has access to:
Wi-Fi connection information
view Wi-Fi connections
Other
receive data from Internet
view network connections
full network access
prevent device from sleeping"
1	com.citiuat	https://play.google.com/store/apps/details?id=com.citiuat	Citibank IN	Citibank India	Finance	"Citi Mobile app provides the joy of banking at your fingertips. It is a one-stop solution to manage your Citibank Accounts and Credit Cards on your phone. 
Just install the app and sign-in much faster and simpler with your fingerprint or User ID and Internet Password (IPIN). The app is now securely linked to your User ID. 
Smart Banking Features:
•	View your account balances, recent transactions and available credit limits 
•	Instantly transfer money, pay bills, recharge your wallet or mobile
•	Add new payees in a simple & secure manner to immediately transfer funds via IMPS or NEFT
•	Create your own ‘@Citi’ Virtual Payment Address & transfer/receive funds instantly via UPI without the need for any account number or IFSC
•	Register for Snapshot and view your account balances and credit card details without having to login every time
•	Invest in deposits or in a host of mutual fund options
•	Connect with your RM & SRM instantly through in-app chat, audio & video calls (available to select Citigold & Citi Priority customers)
•	Convert large purchases on your credit card into easy EMIs
•	Report your lost or stolen cards and get them reissued  
•	Upload documents for KYC refresh, PAN updation or other services
•	Receive the latest offers and communication on Citi products through in-app notifications
•	Locate the nearest Citibank ATM, branches and retailers offering Citibank Privileges
Bank on the go with Citi Mobile app. Get started now.
This app is dedicated and may only be used by Citibank India customers."	109657	39476	12062	5483	10966	1,000,000+	"This app has access to:
Identity
find accounts on the device
Calendar
read calendar events plus confidential information
add or modify calendar events and send email to guests without owners' knowledge
Contacts
find accounts on the device
Location
approximate location (network-based)
precise location (GPS and network-based)
Phone
directly call phone numbers
read phone status and identity
Photos/Media/Files
read the contents of your USB storage
modify or delete the contents of your USB storage
Storage
read the contents of your USB storage
modify or delete the contents of your USB storage
Camera
take pictures and videos
Microphone
record audio
Wi-Fi connection information
view Wi-Fi connections
Device ID & call information
read phone status and identity
Other
receive data from Internet
view network connections
pair with Bluetooth devices
access Bluetooth settings
connect and disconnect from Wi-Fi
full network access
change your audio settings
draw over other apps
control vibration
prevent device from sleeping
read Google service configuration"
