package
com.mobeam.barcodeService
com.samsung.android.provider.filterprovider
com.monotype.android.font.rosemary
com.sec.android.app.DataCreate
com.skype.raider
com.android.cts.priv.ctsshim
com.gd.mobicore.pa
com.sec.android.widgetapp.samsungapps
com.google.android.youtube
com.samsung.android.app.galaxyfinder
